X,Stimulus,Progression
1,controlstimulus1,C^7 Gm7 C7 G7 C^7 Am7
2,controlstimulus3,C^7 Dm7 G7 C^7 Dm7 G7
3,controlstimulus4,C^7 Am7 D7 Dm7 G7 C^7
4,controlstimulus5,C^7 Gm7 C7 F^7 G7 C^7
5,controlstimulus6,C^7 Am7 Dm7 G7 C^7 F^7
6,itrans0,C^7 Em7 A7 Dm7 G7 C^7
7,itrans1,C^7 Em7 A7 Ebm7 Ab7 C^7
8,itrans10,C^7 Em7 A7 Cm7 F7 C^7
9,itrans11,C^7 Em7 A7 Dbm7 Gb7 C^7
10,itrans2,C^7 Em7 A7 Em7 A7 C^7
11,itrans3,C^7 Em7 A7 Fm7 Bb7 C^7
12,itrans4,C^7 Em7 A7 F#m7 B7 C^7
13,itrans5,C^7 Em7 A7 Gm7 C7 C^7
14,itrans6,C^7 Em7 A7 Abm7 Db7 C^7
15,itrans7,C^7 Em7 A7 Am7 D7 C^7
16,itrans8,C^7 Em7 A7 Bbm7 Eb7 C^7
17,itrans9,C^7 Em7 A7 Bm7 E7 C^7
18,stimulus1,C^7 Dm7 G7 C^7 Gm7 C7
19,stimulus3,C^7 Am7 Gm7 C7 G7 C^7
20,stimulus4,C^7 Gm7 C7 G7 C^7 F^7
21,stimulus5,C^7 Gm7 C7 G7 C^7 Dm7
22,vtrans1,C^7 Dm7 G7 C^7 Ebm7 Ab7
23,vtrans10,C^7 Dm7 G7 C^7 Cm7 F7
24,vtrans11,C^7 Dm7 G7 C^7 Db7 Gb7
25,vtrans2,C^7 Dm7 G7 C^7 Em7 A7
26,vtrans3,C^7 Dm7 G7 C^7 Fm7 Bb7
27,vtrans4,C^7 Dm7 G7 C^7 F#m7 B7
28,vtrans6,C^7 Dm7 G7 C^7 Abm7 Db7
29,vtrans7,C^7 Dm7 G7 C^7 Am7 D7
30,vtrans8,C^7 Dm7 G7 C^7 Bbm7 Eb7
31,vtrans9,C^7 Dm7 G7 C^7 Bm7 E7